date,strike,call_bid,call_ask,put_bid,put_ask
2021-02-05,1590,190,197.3,19.3,22.4
2021-02-05,1600,181.6,189.1,21.1,23.9
2021-02-05,1610,173.2,180.9,23,26.7
2021-02-05,1620,165.4,172.7,24.1,27.9
2021-02-05,1630,156.9,165.1,26.7,29.8
2021-02-05,1640,151.2,156.6,28.8,32.3
2021-02-05,1650,141.8,149.4,31.3,35.2
2021-02-05,1660,135.2,142,33.9,38
2021-02-05,1670,128.8,134.6,36,41
2021-02-05,1675,124,131.3,37.9,41.5
2021-02-05,1680,120.3,127.7,39.5,43.5
2021-02-05,1685,117.1,124.4,40.7,45
2021-02-05,1690,115.1,119.8,42.6,46.5
2021-02-05,1695,111.1,116.2,44.2,48.1
2021-02-05,1700,107.8,113,45.9,49.7
2021-02-05,1705,104.8,109.7,47.6,52
2021-02-05,1710,101.7,106.6,49.3,54.3
2021-02-05,1715,97.9,103.5,51.1,55.7
2021-02-05,1717.5,96.2,102.1,52.1,56.6
2021-02-05,1720,94.9,100.4,52.8,58.1
2021-02-05,1722.5,93.5,99.1,53.6,58.1
2021-02-05,1725,91.6,97.6,55,59.4
2021-02-05,1727.5,90.9,96.3,55.5,60.7
2021-02-05,1730,89.5,94.5,56.8,61.3
2021-02-05,1732.5,87.9,93.6,57.9,63.2
2021-02-05,1735,86.1,91.7,59,63.6
2021-02-05,1737.5,85.1,90,60.1,64.6
2021-02-05,1740,83.9,88.9,61,66.3
2021-02-05,1742.5,81.4,87.4,62.1,67.4
2021-02-05,1745,81.2,85.4,63.1,68.6
2021-02-05,1747.5,79.8,83.8,64.3,69
2021-02-05,1750,78.4,82.7,65.4,69.7
2021-02-05,1752.5,77.1,81.6,66.6,71.3
2021-02-05,1755,75.5,79.8,67.6,71.8
2021-02-05,1757.5,74.4,78.1,68.9,72.8
2021-02-05,1760,72.8,76.7,70,73.5
2021-02-05,1762.5,71.2,74.9,71.3,76
2021-02-05,1765,70.6,73.7,72.3,76.2
2021-02-05,1770,67.9,71.5,74.6,78.5
2021-02-05,1775,65.2,68.9,77,81
2021-02-05,1780,62.5,66.4,79.5,84.8
2021-02-05,1785,60,64.3,81.7,87.6
2021-02-05,1790,56.4,62.3,84,89.6
2021-02-05,1795,54.2,59.8,86.8,93.1
2021-02-05,1800,52.4,57.5,89.8,96.2
2021-02-05,1805,49.5,55.9,91.9,98.5
2021-02-05,1810,47.5,53.6,94.6,102.4
2021-02-05,1820,43.9,49.8,100.5,107.9
2021-02-05,1830,40.6,46.5,106.8,114.1
2021-02-05,1840,36.9,42.6,113,120.9
2021-02-05,1850,33.9,39.5,119.7,127.7
2021-02-05,1860,30.9,36.4,126.6,134.8
2021-02-05,1870,28.2,33.4,134.2,142.1
2021-02-05,1880,25.8,30.7,141.2,149.5
2021-02-05,1890,23.5,28.3,149,157.5
2021-02-05,1900,21.2,26,156.9,164.8
2021-02-05,1910,19.3,23.8,164.8,173.2
2021-02-05,1920,17.5,21.8,173,181.5
2021-02-05,1930,15.9,20,181.6,189.4
2021-02-19,1590,198.3,202.4,26.8,28.1
2021-02-19,1595,194.4,198.3,27.7,29
2021-02-19,1600,190.7,193.9,28.6,30
2021-02-19,1610,182.6,186.1,30.6,32
2021-02-19,1620,175,178.3,32.7,34.3
2021-02-19,1630,167,170.6,35.1,36.7
2021-02-19,1640,159.8,163,37.5,39.2
2021-02-19,1650,152.4,156.3,40.1,41.8
2021-02-19,1660,145,148,42.8,44.3
2021-02-19,1665,141.2,144.9,44.3,46.1
2021-02-19,1670,138,141.3,45.7,47.6
2021-02-19,1675,134.7,137.4,47.3,49.2
2021-02-19,1680,131.3,134,48.8,50.5
2021-02-19,1685,127.8,130.7,50.4,51.9
2021-02-19,1690,124.6,127.6,52.1,54
2021-02-19,1695,121.4,124.3,53.8,55.7
2021-02-19,1700,118.1,120.7,55.5,57.3
2021-02-19,1705,115,118.2,57.3,59.2
2021-02-19,1710,111.8,114.6,59.1,60.8
2021-02-19,1715,108.6,111.4,61,63
2021-02-19,1720,105.6,108.1,62.9,64.8
2021-02-19,1725,102.7,105.3,64.9,67.1
2021-02-19,1730,99.7,102.4,67,68.5
2021-02-19,1735,97,99.2,69.1,71.4
2021-02-19,1740,94,96.2,71.2,72.9
2021-02-19,1745,91.1,93.6,73.4,75.3
2021-02-19,1750,88.5,90.7,75.7,76.9
2021-02-19,1755,86,88.1,78.2,79.6
2021-02-19,1760,83.5,85.2,80.6,82
2021-02-19,1765,80.7,82.7,82.7,84.9
2021-02-19,1770,78.2,79.9,85.2,86.4
2021-02-19,1775,75.7,77.4,87.7,89.4
2021-02-19,1780,73.4,75,90.4,91.9
2021-02-19,1785,70.9,72.6,92.8,94.7
2021-02-19,1790,68.6,70.2,95.5,96.6
2021-02-19,1795,66.3,68,98.2,99.8
2021-02-19,1800,64,65.8,100.9,102.7
2021-02-19,1805,61.8,63.5,103.5,105.9
2021-02-19,1810,59.8,61.3,106.3,108.5
2021-02-19,1815,57.2,59.2,109.2,112.1
2021-02-19,1820,55.7,57.2,112.4,114.6
2021-02-19,1825,53.4,55.3,114.9,118
2021-02-19,1830,51.6,53.3,118.1,120.9
2021-02-19,1835,49.3,51.5,120.6,124.2
2021-02-19,1840,48,49.7,124.5,127.3
2021-02-19,1845,46.2,47.9,127.9,130.6
2021-02-19,1850,44.3,46.3,129.8,133.9
2021-02-19,1855,42.4,44.6,133.7,137.8
2021-02-19,1860,41.2,43,137.7,140.6
2021-02-19,1865,39.2,41.4,140.5,144.1
2021-02-19,1870,37.6,40,143.7,147.6
2021-02-19,1880,34.8,37.1,151,155
2021-02-19,1890,32.2,34.3,158.3,163
2021-02-19,1900,29.8,31.7,165.9,169.8
2021-02-19,1910,27.4,29.3,173.2,177.5
2021-02-19,1920,25.6,27,182,185.2
2021-02-19,1930,23.3,25,188.7,193.3
